[I 2025-03-14 21:52:35,115] Trial 35 finished with value: 575.6095698084682 and parameters: {'lr': 0.0019036618052069077, 'batch_size': 32, 'gamma': 0.9271874245181047, 'eps_init': 0.9911113767780401}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:52:53,565] Trial 36 finished with value: 540.778481964604 and parameters: {'lr': 0.0002540972959306736, 'batch_size': 32, 'gamma': 0.9273759459495674, 'eps_init': 0.9996889190965648}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:53:11,520] Trial 37 finished with value: 558.1386772656115 and parameters: {'lr': 0.0005080724541023865, 'batch_size': 32, 'gamma': 0.933533365345941, 'eps_init': 0.9731505708325832}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:53:30,192] Trial 38 finished with value: 469.1220432774862 and parameters: {'lr': 0.0004904077435624952, 'batch_size': 32, 'gamma': 0.9338737819699597, 'eps_init': 0.9808445799995877}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:53:48,065] Trial 39 finished with value: 617.3055779866409 and parameters: {'lr': 0.0018783935017774587, 'batch_size': 32, 'gamma': 0.9360906671807918, 'eps_init': 0.9998654871825707}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:54:06,150] Trial 40 finished with value: 516.3276281926665 and parameters: {'lr': 0.0019084954289174483, 'batch_size': 32, 'gamma': 0.9352347927603362, 'eps_init': 0.9697695473374802}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:54:23,966] Trial 41 finished with value: 360.3061138289049 and parameters: {'lr': 0.0035934198376227446, 'batch_size': 32, 'gamma': 0.939546268425859, 'eps_init': 0.9968690644461868}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:54:42,761] Trial 42 finished with value: 503.3533654777566 and parameters: {'lr': 0.002057660724254577, 'batch_size': 32, 'gamma': 0.9452358527174574, 'eps_init': 0.9417852434880687}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:55:01,414] Trial 43 finished with value: 508.1532454552362 and parameters: {'lr': 0.0013816336643410474, 'batch_size': 32, 'gamma': 0.9287341969980284, 'eps_init': 0.9751969900799027}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:55:19,640] Trial 44 finished with value: 432.6479662184138 and parameters: {'lr': 0.002589445366261528, 'batch_size': 128, 'gamma': 0.9258533438432772, 'eps_init': 0.9954167065341235}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:55:38,011] Trial 45 finished with value: 467.4851208071923 and parameters: {'lr': 0.001559345231858446, 'batch_size': 32, 'gamma': 0.9336716971052595, 'eps_init': 0.9183785012516724}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:55:57,070] Trial 46 finished with value: 567.2982518768404 and parameters: {'lr': 0.0003345912495195486, 'batch_size': 32, 'gamma': 0.9368558955975552, 'eps_init': 0.9522843608779697}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:56:15,352] Trial 47 finished with value: 481.5194050647551 and parameters: {'lr': 0.0008897674448853619, 'batch_size': 32, 'gamma': 0.9382470033809283, 'eps_init': 0.9534878240634673}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:56:33,153] Trial 48 finished with value: 396.7037886979524 and parameters: {'lr': 0.0011278101738300614, 'batch_size': 32, 'gamma': 0.9445282149620084, 'eps_init': 0.8975407692658234}. Best is trial 39 with value: 617.3055779866409.
[I 2025-03-14 21:56:51,242] Trial 49 finished with value: 380.2314721243456 and parameters: {'lr': 0.004425702067441449, 'batch_size': 32, 'gamma': 0.9529249720104703, 'eps_init': 0.9327705027619599}. Best is trial 39 with value: 617.3055779866409.
