[I 2025-03-17 09:44:16,150] Trial 26 finished with value: 546.7457467843778 and parameters: {'lr': 0.0021181450210738754, 'batch_size': 256, 'exploration_eps_init': 0.9495881734504877, 'exploration_eps_end': 0.05556196439211535, 'softupdate_eps': 0.9707041535405156, 'gamma': 0.9335710710716169, 'weight_decay': 2.777462335332261e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:44:31,053] Trial 27 finished with value: 469.90934989170637 and parameters: {'lr': 0.006030672544173558, 'batch_size': 64, 'exploration_eps_init': 0.9118409900874479, 'exploration_eps_end': 0.07020688682557812, 'softupdate_eps': 0.958808326373126, 'gamma': 0.9403183373975427, 'weight_decay': 5.52281328114174e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:44:46,397] Trial 28 finished with value: 368.77525564900134 and parameters: {'lr': 0.00958554787237437, 'batch_size': 32, 'exploration_eps_init': 0.8430398838750365, 'exploration_eps_end': 0.04010982737811375, 'softupdate_eps': 0.9747797383433049, 'gamma': 0.9217150615142499, 'weight_decay': 3.942180217798509e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:45:01,963] Trial 29 finished with value: 474.21961356687825 and parameters: {'lr': 0.004112611818685291, 'batch_size': 64, 'exploration_eps_init': 0.7902214124142454, 'exploration_eps_end': 0.062362362913503055, 'softupdate_eps': 0.97534938314707, 'gamma': 0.9640735721025376, 'weight_decay': 2.417651772743918e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:45:17,555] Trial 30 finished with value: 565.3334344829345 and parameters: {'lr': 0.00287264698372115, 'batch_size': 256, 'exploration_eps_init': 0.9681564479453317, 'exploration_eps_end': 0.05093775824061228, 'softupdate_eps': 0.9672489419525505, 'gamma': 0.9345999756799809, 'weight_decay': 1.5415820950137494e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:45:33,106] Trial 31 finished with value: 655.62842349126 and parameters: {'lr': 0.0032854330558099295, 'batch_size': 256, 'exploration_eps_init': 0.873047363495136, 'exploration_eps_end': 0.04206840128503072, 'softupdate_eps': 0.9600157305961637, 'gamma': 0.9527349793106914, 'weight_decay': 1.30967100958811e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:45:48,751] Trial 32 finished with value: 808.4930485711666 and parameters: {'lr': 0.0026336134280310133, 'batch_size': 256, 'exploration_eps_init': 0.8880795552182663, 'exploration_eps_end': 0.03974266180237318, 'softupdate_eps': 0.9608381360166477, 'gamma': 0.961679282343245, 'weight_decay': 9.283449900752153e-06}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:46:04,300] Trial 33 finished with value: 645.2505206670612 and parameters: {'lr': 0.0029756042714515736, 'batch_size': 256, 'exploration_eps_init': 0.8872928454787885, 'exploration_eps_end': 0.03481826911629055, 'softupdate_eps': 0.950696665082627, 'gamma': 0.958243734964007, 'weight_decay': 8.271559016909783e-06}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:46:19,886] Trial 34 finished with value: 534.8063741831575 and parameters: {'lr': 0.006124396356252487, 'batch_size': 256, 'exploration_eps_init': 0.9387937779798274, 'exploration_eps_end': 0.04361727206805806, 'softupdate_eps': 0.9498792996893699, 'gamma': 0.9637917999909024, 'weight_decay': 1.1740469508826118e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:46:35,315] Trial 35 finished with value: 479.8267466457328 and parameters: {'lr': 0.003881257456841492, 'batch_size': 128, 'exploration_eps_init': 0.9988575385357457, 'exploration_eps_end': 0.03996452290847971, 'softupdate_eps': 0.9608782746394363, 'gamma': 0.9700704167089953, 'weight_decay': 7.723355683298605e-06}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:46:51,129] Trial 36 finished with value: 443.6611797919322 and parameters: {'lr': 0.007292854016348003, 'batch_size': 256, 'exploration_eps_init': 0.9253065753111098, 'exploration_eps_end': 0.034123986992594994, 'softupdate_eps': 0.9436846545227916, 'gamma': 0.9557084404204601, 'weight_decay': 2.0241522951590856e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:47:06,711] Trial 37 finished with value: 522.3495627319207 and parameters: {'lr': 0.0048445337831529945, 'batch_size': 128, 'exploration_eps_init': 0.8819921332291822, 'exploration_eps_end': 0.02696412386884111, 'softupdate_eps': 0.9589998801973822, 'gamma': 0.943397994887954, 'weight_decay': 3.208669781491251e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:47:22,422] Trial 38 finished with value: 566.989851380582 and parameters: {'lr': 0.0026547209808576652, 'batch_size': 256, 'exploration_eps_init': 0.9675571400778781, 'exploration_eps_end': 0.055330676912819364, 'softupdate_eps': 0.9393757179809425, 'gamma': 0.9466749563459003, 'weight_decay': 8.964383236928118e-06}. Best is trial 32 with value: 808.4930485711666.
